,fighter,knockdowns,significant_strikes_landed,significant_strikes_attempted,significant_strikes_rate,total_strikes_landed,total_strikes_attempted,takedown_successful,takedown_attempted,takedown_rate,submission_attempt,reversals,head_landed,head_attempted,body_landed,body_attempted,leg_landed,leg_attempted,distance_landed,distance_attempted,clinch_landed,clinch_attempted,ground_landed,ground_attempted,round,result,last_round,scheduled_rounds,winner,weight_class,fight_date,id
1,Holly Holm,0,21,50,0.42,31,60,1,3,0.33,0,0,8,33,8,10,5,7,21,50,0,0,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
2,Irene Aldana,0,12,31,0.38,13,32,0,0,0,0,0,3,14,1,4,8,13,12,31,0,0,0,0,round 1,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
3,Holly Holm,0,23,47,0.48,27,53,1,3,0.33,0,0,10,31,8,11,5,5,21,45,0,0,2,2,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
4,Irene Aldana,0,12,32,0.37,17,37,0,0,0,0,0,5,21,2,4,5,7,10,30,2,2,0,0,round 2,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
5,Holly Holm,0,23,51,0.45,37,67,1,2,0.5,0,0,12,38,10,12,1,1,14,27,0,0,9,24,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
6,Irene Aldana,0,9,25,0.36,11,27,0,0,0,0,0,4,19,3,4,2,2,8,24,1,1,0,0,round 3,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
7,Holly Holm,0,39,58,0.67,39,60,1,3,0.33,0,0,14,28,19,24,6,6,37,56,0,0,2,2,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
8,Irene Aldana,0,18,42,0.42,19,43,0,0,0,0,0,13,34,3,6,2,2,17,41,1,1,0,0,round 4,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
9,Holly Holm,0,48,95,0.5,53,102,1,3,0.33,0,0,37,84,11,11,0,0,47,94,1,1,0,0,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),W,Women's Bantamweight Bout,2020-10-03,5728
10,Irene Aldana,0,18,55,0.32,32,71,0,0,0,0,0,13,40,3,12,2,3,18,55,0,0,0,0,round 5,Decision - Unanimous,5,5 Rnd (5-5-5-5-5),L,Women's Bantamweight Bout,2020-10-03,5728
11,Yorgan De Castro,0,14,27,0.51,14,27,0,0,0,0,0,3,14,2,3,9,10,14,27,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
12,Carlos Felipe,0,23,57,0.4,23,57,0,0,0,0,0,7,35,8,14,8,8,23,57,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
13,Yorgan De Castro,0,28,57,0.49,29,58,0,0,0,0,0,15,42,6,8,7,7,28,56,0,1,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
14,Carlos Felipe,0,27,75,0.36,28,76,0,0,0,0,0,12,55,12,16,3,4,24,71,3,4,0,0,round 2,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
15,Yorgan De Castro,0,6,16,0.37,70,89,0,1,0,0,0,6,16,0,0,0,0,6,16,0,0,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),L,Heavyweight Bout,2020-10-03,5729
16,Carlos Felipe,0,28,45,0.62,37,54,0,0,0,0,0,20,37,8,8,0,0,18,33,10,12,0,0,round 3,Decision - Unanimous,3,3 Rnd (5-5-5),W,Heavyweight Bout,2020-10-03,5729
17,Germaine de Randamie,0,20,58,0.34,23,61,0,0,0,0,0,18,56,2,2,0,0,20,58,0,0,0,0,round 1,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
18,Julianna Pena,0,8,43,0.18,12,47,1,1,1,0,0,7,39,0,2,1,2,8,43,0,0,0,0,round 1,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
19,Germaine de Randamie,0,6,9,0.66,19,29,0,0,0,1,0,6,9,0,0,0,0,4,6,1,2,1,1,round 2,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
20,Julianna Pena,0,11,23,0.47,30,43,1,2,0.5,0,0,6,17,5,6,0,0,4,9,0,0,7,14,round 2,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
21,Germaine de Randamie,0,11,24,0.45,15,29,0,0,0,1,0,8,21,3,3,0,0,8,20,3,4,0,0,round 3,Submission,3,3 Rnd (5-5-5),W,Women's Bantamweight Bout,2020-10-03,5730
22,Julianna Pena,0,8,25,0.32,16,35,1,3,0.33,0,0,6,23,2,2,0,0,6,23,2,2,0,0,round 3,Submission,3,3 Rnd (5-5-5),L,Women's Bantamweight Bout,2020-10-03,5730
23,Kyler Phillips,0,26,57,0.45,28,59,1,1,1,0,0,16,43,5,8,5,6,12,35,0,0,14,22,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5731
24,Cameron Else,0,9,25,0.36,18,38,0,0,0,0,0,4,17,4,6,1,2,8,23,0,0,1,2,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5731
25,Kyler Phillips,0,6,21,0.28,6,21,1,1,1,0,0,6,20,0,0,0,1,1,6,0,0,5,15,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Bantamweight Bout,2020-10-03,5731
26,Cameron Else,0,2,5,0.4,2,5,0,0,0,0,0,0,3,2,2,0,0,2,5,0,0,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Bantamweight Bout,2020-10-03,5731
27,Dequan Townsend,0,11,29,0.37,17,35,0,0,0,0,0,4,19,5,8,2,2,8,26,3,3,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5732
28,Dusko Todorovic,0,53,75,0.7,65,89,0,0,0,0,0,36,57,11,12,6,6,36,55,17,20,0,0,round 1,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5732
29,Dequan Townsend,0,2,12,0.16,4,14,0,0,0,0,0,1,9,1,3,0,0,2,12,0,0,0,0,round 2,KO/TKO,2,3 Rnd (5-5-5),L,Middleweight Bout,2020-10-03,5732
30,Dusko Todorovic,0,32,59,0.54,44,78,1,2,0.5,0,0,30,57,0,0,2,2,3,12,0,0,29,47,round 2,KO/TKO,2,3 Rnd (5-5-5),W,Middleweight Bout,2020-10-03,5732
31,Carlos Condit,1,15,38,0.39,15,38,0,0,0,0,0,5,19,4,12,6,7,15,38,0,0,0,0,round 1,Decision - Unanimous,3,3 Rnd (5-5-5),W,Welterweight Bout,2020-10-03,5733
